respondent_id,synthetic_user_id,dataset_type,week_index,week_start_date,year,month,week_of_month,quarter,is_month_start,is_month_end,is_payday_period,is_weekend,is_ramadan_lebaran_period,is_harbolnas_period,is_christmas_year_end,is_new_year,seasonal_event_type,gig_type,domisili_code,usia,experience_months_log,hari_kerja_per_minggu,jam_kerja_per_hari,total_jam_seminggu,bps_jasa_weekly,pref_awal_bulan,pref_payday,pref_weekend,pref_ramadan_lebaran,pref_harbolnas,pref_promo_aplikasi,synthetic_weekly_income,is_synthetic,synthetic_generation_note
R0000,SYN_R0000,synthetic_52w,1,2026-01-01,2026,1,1,1,1,0,1,0,0,0,0,1,new_year,freelance_it,jawa_tengah,21,1.6094379124341003,2,4,8,442180.75,1,1,1,0,0,0,201994.0,1,"AR1: base=213333, cv=0.159"
R0000,SYN_R0000,synthetic_52w,2,2026-01-08,2026,1,2,1,0,0,0,0,0,0,0,0,normal,freelance_it,jawa_tengah,21,1.6094379124341003,2,4,8,442180.75,1,1,1,0,0,0,196922.0,1,"AR1: base=213333, cv=0.159"
R0000,SYN_R0000,synthetic_52w,3,2026-01-15,2026,1,3,1,0,0,0,0,0,0,0,0,normal,freelance_it,jawa_tengah,21,1.6094379124341003,2,4,8,442180.75,1,1,1,0,0,0,193422.0,1,"AR1: base=213333, cv=0.159"
R0000,SYN_R0000,synthetic_52w,4,2026-01-22,2026,1,4,1,0,0,0,0,0,0,0,0,normal,freelance_it,jawa_tengah,21,1.6094379124341003,2,4,8,442180.75,1,1,1,0,0,0,194877.0,1,"AR1: base=213333, cv=0.159"
R0000,SYN_R0000,synthetic_52w,5,2026-01-29,2026,1,5,1,0,1,1,0,0,0,0,0,payday,freelance_it,jawa_tengah,21,1.6094379124341003,2,4,8,442180.75,1,1,1,0,0,0,196008.0,1,"AR1: base=213333, cv=0.159"
R0000,SYN_R0000,synthetic_52w,6,2026-02-05,2026,2,1,1,1,0,1,0,0,0,0,0,payday,freelance_it,jawa_tengah,21,1.6094379124341003,2,4,8,442180.75,1,1,1,0,0,0,198535.0,1,"AR1: base=213333, cv=0.159"
R0000,SYN_R0000,synthetic_52w,7,2026-02-12,2026,2,2,1,0,0,0,0,0,0,0,0,normal,freelance_it,jawa_tengah,21,1.6094379124341003,2,4,8,442180.75,1,1,1,0,0,0,190135.0,1,"AR1: base=213333, cv=0.159"
R0000,SYN_R0000,synthetic_52w,8,2026-02-19,2026,2,3,1,0,0,0,0,0,0,0,0,normal,freelance_it,jawa_tengah,21,1.6094379124341003,2,4,8,442180.75,1,1,1,0,0,0,182876.0,1,"AR1: base=213333, cv=0.159"
R0000,SYN_R0000,synthetic_52w,9,2026-02-26,2026,2,4,1,0,1,1,0,0,0,0,0,payday,freelance_it,jawa_tengah,21,1.6094379124341003,2,4,8,442180.75,1,1,1,0,0,0,180632.0,1,"AR1: base=213333, cv=0.159"
R0000,SYN_R0000,synthetic_52w,10,2026-03-05,2026,3,1,1,1,0,1,0,1,0,0,0,payday,freelance_it,jawa_tengah,21,1.6094379124341003,2,4,8,442180.75,1,1,1,0,0,0,185660.0,1,"AR1: base=213333, cv=0.159"
R0000,SYN_R0000,synthetic_52w,11,2026-03-12,2026,3,2,1,0,0,0,0,1,0,0,0,normal,freelance_it,jawa_tengah,21,1.6094379124341003,2,4,8,442180.75,1,1,1,0,0,0,182496.0,1,"AR1: base=213333, cv=0.159"
R0000,SYN_R0000,synthetic_52w,12,2026-03-19,2026,3,3,1,0,0,0,0,1,0,0,0,normal,freelance_it,jawa_tengah,21,1.6094379124341003,2,4,8,442180.75,1,1,1,0,0,0,178837.0,1,"AR1: base=213333, cv=0.159"
